Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh.1,Biofuels consumption - TWh.1,Solar consumption - TWh.1,Wind consumption - TWh.1,Hydro consumption - TWh.1,Nuclear consumption - TWh.1,Gas consumption - TWh.1,Coal consumption - TWh.1,Oil consumption - TWh.1
Croatia,HRV,2004.0,0.0115511866618567,0.0,0.0,0.0052137238680831,19.881486197280463,0.0,25.708393941469453,7.258452636379128,47.13490231434102,0.012768805,0.0,0.0,0.005763306,21.977207,0.0,28.418333,8.023571,52.103424
Croatia,HRV,2005.0,0.0408938716420347,0.0,0.0,0.0262013909560577,18.433968943577604,0.0,25.14747050068972,7.275606619251602,49.075858673882976,0.04469083,0.0,0.0,0.028634166,20.145546,0.0,27.48239,7.95114,53.632507
Croatia,HRV,2006.0,0.0325282356655352,0.0,0.0,0.0500814049959908,17.441480377643384,0.0,25.17764763494818,6.837720007273246,50.46054233947367,0.035114165,0.0,0.0,0.054062776,18.828043,0.0,27.17922,7.381305,54.472054
Croatia,HRV,2007.0,0.0206034256510114,0.0283812420835746,0.0,0.0909907557834411,12.253257672449244,0.0,28.795341598470728,7.388917266448743,51.42250803911326,0.022345414,0.030780833,0.0,0.098683886,13.289252,0.0,31.229944,8.013639,55.770203
Croatia,HRV,2008.0,0.0624446173901471,0.0380626793167155,0.0,0.1039465383377625,15.057910113415051,0.0,28.06335211096605,7.645582887694018,49.02870105288026,0.06735556,0.04105611,0.0,0.11212139,16.242136,0.0,30.270388,8.246868,52.884552
Croatia,HRV,2009.0,0.0598607627258772,0.0855363956445255,0.0002386510989757,0.1421417264099522,19.42883529846547,0.0,26.24678976834016,5.534082204072429,48.502515193242616,0.063745,0.09108667,0.00025413666,0.151365,20.689531,0.0,27.949888,5.893177,51.64974
Croatia,HRV,2010.0,0.0974105974554671,0.0,0.0003076449445386,0.356611830134686,23.396921389707625,0.0,28.277268448018543,7.33373612545535,40.53774396428379,0.10546083,0.0,0.00033306942,0.38608304,25.330496,0.0,30.614166,7.9398127,43.887875
Croatia,HRV,2011.0,0.1833396168665257,0.0424806310962086,0.0004001513972089,0.5870829802687977,14.697184721126405,0.0,31.64871666870997,8.65304978902255,44.18774544151234,0.1731611,0.040122222,0.00037793608,0.55448973,13.881237,0.0,29.891666,8.172656,41.734562
Croatia,HRV,2012.0,0.3422207172267992,0.3757139857699836,0.0075251248914034,1.029057935745113,15.140717579225576,0.0,32.040812038816895,8.367188340729234,42.696764277594994,0.29976723,0.32910556,0.006591611,0.90140027,13.262467,0.0,28.066055,7.329214,37.400105
Croatia,HRV,2013.0,0.4176451047644708,0.3808851390171713,0.032007779134367,1.467449934470999,24.45820913171089,0.0,27.622687354424183,8.173006381341656,37.44810917513626,0.40124416,0.36592776,0.030750832,1.4098231,23.497734,0.0,26.537943,7.852052,35.97752
Croatia,HRV,2014.0,0.5472070960536677,0.3569582370539083,0.0992510848803521,2.059770930864381,25.412747822219192,0.0,24.46205524780117,7.833738872784337,39.22827070834298,0.52536666,0.34271112,0.09528972,1.9775602,24.39846,0.0,23.485712,7.5210743,37.66257
Croatia,HRV,2015.0,0.9300296793842626,0.3087725663695171,0.1694248329718192,2.3559689325980897,18.907744068861124,0.0,26.601122685283425,7.739480083385124,42.98745715114664,0.8465119,0.28104442,0.15421028,2.1444001,17.209806,0.0,24.21231,7.0444655,39.127132
Croatia,HRV,2016.0,1.4538007232943808,0.0124211940829264,0.1852156640128325,2.866213536451652,19.363684278103925,0.0,26.64771683524005,7.992069101695343,41.4788786671189,1.3771936,0.011766667,0.17545584,2.7151802,18.343327,0.0,25.243532,7.570932,39.293175
Croatia,HRV,2017.0,1.7701649149036964,0.0066936241679141,0.2209707701933744,3.380542990262062,14.90190469244186,0.0,30.59256141995984,4.81396982817212,44.31319175989912,1.6778225,0.0063444446,0.20944361,3.2041936,14.124532,0.0,28.99667,4.5628443,42.00155
